"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2021","2021-Q1","2021-M01","2021-M02","2021-M03","2021-Q2","2021-M04","2021-M05","2021-M06","2021-Q3","2021-M07","2021-M08","2021-M09","2021-Q4","2021-M10","2021-M11","2021-M12","2022","2022-Q1","2022-M01","2022-M02","2022-M03","2022-Q2","2022-M04","2022-M05","2022-M06","2022-Q3","2022-M07","2022-M08","2022-M09","2022-Q4","2022-M10","2022-M11","2022-M12","2023","2023-Q1","2023-M01","2023-M02","2023-M03","2023-Q2","2023-M04","2023-M05","2023-M06","2023-Q3","2023-M07","2023-M08","2023-M09","2023-Q4","2023-M10","2023-M11","2023-M12","2024","2024-Q1","2024-M01","2024-M02","2024-M03","2024-Q2","2024-M04","2024-M05","2024-M06","2024-Q3","2024-M07","2024-M08","2024-M09","2024-Q4","2024-M10","2024-M11","2024-M12","2025-Q1","2025-M01","2025-M02","2025-M03","2025-Q2","2025-M04","2025-M05","2025-M06","2025-Q3","2025-M07","2025-M08","2025-M09","2025-M10"
"IMF.STA:CPI(5.0.0)","EGY.CPI._T.SRP_POP_PCH_PA_PT.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Period average, Period-over-period percent change","Annual","Units","5.214049405130425","","","","","","","","","","","","","","","","","13.89566097751779","","","","","","","","","","","","","","","","","33.88477631155461","","","","","","","","","","","","","","","","","28.27058993220827","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP08.IX.Q","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Communication","Index","Quarterly","Units","","104.3899996249127","","","","104.5","","","","104.6","","","","105","","","","","105.2","","","","105.3","","","","105.5","","","","105.8","","","","","106.3666666666667","","","","106.8333333333333","","","","107.2333333333333","","","","107.7","","","","","121","","","","121.6","","","","121.9","","","","126.9666666666667","","","","136.3","","","","136.4666666666667","","","","136.5666666666667","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP01.POP_PCH_PA_PT.Q","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Food and non-alcoholic beverages","Period average, Period-over-period percent change","Quarterly","Units","","-0.795896238723599","","","","4.924333841474318","","","","2.300319488817892","","","","2.685821361649001","","","","","5.809002433090055","","","","11.89997125610807","","","","0.6678653994348316","","","","9.364633835162085","","","","","28.0681287914139","","","","13.60903625432683","","","","7.536882617062186","","","","5.621831195943947","","","","","14.58421572779894","","","","3.252833908329227","","","","3.078758949880669","","","","1.701782820097245","","","","1.49117814456461","","","","1.446837146702557","","","","-2.343836373687131","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP10.IX.Q","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Education","Index","Quarterly","Units","","150.977456951782","","","","151","","","","151","","","","170.2","","","","","170.2","","","","170.2","","","","170.2","","","","189.5","","","","","189.5","","","","189.5","","","","189.5","","","","189.5","","","","","212.7","","","","224.3","","","","224.3","","","","224.3","","","","240.9666666666667","","","","249.3","","","","249.3","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP01.YOY_PCH_PA_PT.Q","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Food and non-alcoholic beverages","Period average, Year-over-year (YOY) percent change","Quarterly","Units","","0.03952310082667987","","","","1.630248854622151","","","","7.327893204809255","","","","9.343590290438013","","","","","16.62356467555571","","","","24.37699680511189","","","","22.39225484072455","","","","30.35279805352801","","","","","57.77522276516239","","","","60.18494734138195","","","","71.11508037764738","","","","65.25898273448433","","","","","47.85935507378389","","","","34.38101347017315","","","","28.81002087682673","","","","24.02936608781588","","","","9.857072449482517","","","","7.935560859188557","","","","2.257467006251447","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP02.IX.Q","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Alcoholic beverages, tobacco and narcotics","Index","Quarterly","Units","","114.8716999715687","","","","115.5333333333333","","","","117.2333333333333","","","","117.0333333333333","","","","","117.9","","","","120.5333333333333","","","","129.4","","","","133.7","","","","","134.4333333333333","","","","157.5","","","","200.4","","","","229.4333333333333","","","","","253.4","","","","281.2","","","","284","","","","298.8","","","","319.9333333333333","","","","325.9","","","","353.8","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP07.YOY_PCH_PA_PT.Q","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Transport","Period average, Year-over-year (YOY) percent change","Quarterly","Units","","3.703013138758553","","","","6.879496856669168","","","","5.154764389943888","","","","4.487531409077197","","","","","5.595505370519872","","","","6.15342911358086","","","","17.57592045149154","","","","17.77777777777778","","","","","19.35061534433095","","","","23.11031664964252","","","","13.46285714285719","","","","14.24079065588497","","","","","16.65204036858272","","","","19.66397013067828","","","","26.95406929895245","","","","35.90247738891076","","","","34.71882640586801","","","","40.5616224648986","","","","31.02189781021894","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP04.YOY_PCH_PA_PT.Q","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Housing, water, electricity, gas and other fuels","Period average, Year-over-year (YOY) percent change","Quarterly","Units","","4.417272397341231","","","","4.084212901070253","","","","3.827901515888191","","","","3.696124672252268","","","","","4.551757289061404","","","","6.850560775992693","","","","5.644208037825089","","","","6.470588235294178","","","","","7.620709714950524","","","","6.978723404255319","","","","7.020979020978963","","","","7.016574585635302","","","","","9.729729729729732","","","","9.997348183505728","","","","11.16048092002096","","","","16.28807434176567","","","","13.32512315270941","","","","14.65766634522656","","","","16.78814954150011","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP03.IX.Q","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Clothing and footwear","Index","Quarterly","Units","","106.1784455189937","","","","108.1","","","","108.0666666666667","","","","109.1666666666667","","","","","110.4666666666667","","","","116.5666666666667","","","","120.4666666666667","","","","126.2333333333333","","","","","132.4333333333333","","","","140.8","","","","145.1333333333333","","","","149.5666666666667","","","","","158.4666666666667","","","","176.7333333333333","","","","183.7","","","","188.6666666666667","","","","196.4","","","","207.0333333333333","","","","211.0333333333333","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP04.IX.Q","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Housing, water, electricity, gas and other fuels","Index","Quarterly","Units","","109.610783186702","","","","109.9666666666667","","","","112.8","","","","113.3333333333333","","","","","114.6","","","","117.5","","","","119.1666666666667","","","","120.6666666666667","","","","","123.3333333333333","","","","125.7","","","","127.5333333333333","","","","129.1333333333333","","","","","135.3333333333333","","","","138.2666666666667","","","","141.7666666666667","","","","150.1666666666667","","","","153.3666666666667","","","","158.5333333333333","","","","165.5666666666667","","","",""
